
"3.3V Switch Reg","IC REG BUCK 3.3V 2A TSOT23-6","U1","AP63203WU-7","AP63203WU-7","1"
"9V Lin Reg 1A","IC REG LINEAR 9V 1A TO220AB","U2","MC7809CTG","MC7809CTG","1"
